SampleID	host_common_name
Myodes-glareolus_Mousseau88_FIN_29_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_293_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_296_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_298_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_30_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_31_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_312_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_318_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_329_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_33_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_365_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_366_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_367_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_368_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_370_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_372_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_373_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_376_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_382_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_436_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_45_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_497_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_50_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_516_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_52_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_538_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_55_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_59_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_63_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_68_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_72_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_92_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_93_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_99_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K100_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K102_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K104_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K106_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K107_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K109_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K121_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K18_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K28_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K32_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K41_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K44_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K49_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K7_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K74_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K78_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K80_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K81_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K82_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K84_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K85_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K87_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K90_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_FIN_K96_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_523_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_527_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_528_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_531_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_532_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_536_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_538_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_541_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_542_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_544_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_553_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_564_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_569_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_570_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_596_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_620_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_639_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_640_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_656_host_filtered_r1r2combined	bank vole
