SampleID	host_common_name
Eulemur-rubriventer_ERUB_20M_GAGTGG_L002_001_filtered_r1r2combined	red-bellied lemur
Gorilla-gorilla_Gor1_TTAGGC_L003_001_filtered_r1r2combined	western gorilla
Gorilla-gorilla_Gor11_TGACCA_L003_001_filtered_r1r2combined	western gorilla
Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2combined	western gorilla
Gorilla-gorilla_Gor2_GCCAAT_L003_001_filtered_r1r2combined	western gorilla
Gorilla-gorilla_Gor3_CAGATC_L003_001_filtered_r1r2combined	western gorilla
Papio-hamadryas_JB1_TGACCA_L004_001_filtered_r1r2combined	hamadryas baboon
Papio-hamadryas_JB10_GTGAAA_L003_001_filtered_r1r2combined	olive baboon
Papio-anubis_JB12_GTGGCC_L003_001_filtered_r1r2combined	olive baboon
Papio-anubis_JB13_ACAGTG_L004_001_filtered_r1r2combined	hamadryas baboon
Papio-hamadryas_JB15_GCCAAT_L004_001_filtered_r1r2combined	hamadryas baboon
Papio-hamadryas_JB17_CAGATC_L004_001_filtered_r1r2combined	hamadryas baboon
Papio-hamadryas_JB18_ACTTGA_L004_001_filtered_r1r2combined	hamadryas baboon
Papio-anubis_JB24_GTTTCG_L003_001_filtered_r1r2combined	olive baboon
Papio-anubis_JB25_CGTACG_L003_001_filtered_r1r2combined	olive baboon
Theropithecus-gelada_JB27_AGTTCC_L004_001_filtered_r1r2combined	gelada
Papio-anubis_JB28_GAGTGG_L003_001_filtered_r1r2combined	olive baboon
Theropithecus-gelada_JB29_ATGTCA_L004_001_filtered_r1r2combined	gelada
Theropithecus-gelada_JB3_CCGTCC_L004_001_filtered_r1r2combined	gelada
Theropithecus-gelada_JB32_GTCCGC_L004_001_filtered_r1r2combined	gelada
Theropithecus-gelada_JB34_GTGAAA_L004_001_filtered_r1r2combined	gelada
Lagothrix-lagotricha_LabEllis3_AGTCAA_L003_001_filtered_r1r2combined	brown woolly monkey
Lagothrix-lagotricha_LagAb2_AGTTCC_L003_001_filtered_r1r2combined	brown woolly monkey
Lagothrix-lagotricha_LagEllis1_ATGTCA_L003_001_filtered_r1r2combined	brown woolly monkey
Lagothrix-lagotricha_LagEllis4_CCGTCC_L003_001_filtered_r1r2combined	brown woolly monkey
Lagothrix-lagotricha_LagEllis5_GTCCGC_L003_001_filtered_r1r2combined	brown woolly monkey
Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined	ring-tailed lemur
Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined	ring-tailed lemur
Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined	ring-tailed lemur
Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined	ring-tailed lemur
Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined	ring-tailed lemur
Propithecus-verreauxi_Ptr1_GATCAG_L004_001_filtered_r1r2combined	chimpanzee
Pan-troglodytes_Ptr10_TAGCTT_L004_001_filtered_r1r2combined	chimpanzee
Propithecus-verreauxi_Ptr11_GGCTAC_L004_001_filtered_r1r2combined	chimpanzee
Propithecus-verreauxi_Ptr13_CTTGTA_L004_001_filtered_r1r2combined	chimpanzee
Propithecus-verreauxi_PTr14_AGTCAA_L004_001_filtered_r1r2combined	chimpanzee
Propithecus-verreauxi_PVAbb_GTGGCC_L004_001_filtered_r1r2combined	white sifaka
Pan-troglodytes_PVLou_GTTTCG_L004_001_filtered_r1r2combined	white sifaka
Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2combined	white sifaka
Pan-troglodytes_PVPet_GAGTGG_L004_001_filtered_r1r2combined	white sifaka
Pan-troglodytes_PVQui_ACTGAT_L004_001_filtered_r1r2combined	white sifaka
Piliocolobus-badius_RC2036_ACTGAT_L003_001_filtered_r1r2combined	western red colobus
Cercopithecus-ascanius_RC2068_ATCACG_L004_001_filtered_r1r2combined	western red colobus
Piliocolobus-badius_RC2071_ATTCCT_L003_001_filtered_r1r2combined	western red colobus
Piliocolobus-badius_RC2096_CGATGT_L004_001_filtered_r1r2combined	western red colobus
Piliocolobus-badius_RC2098_TTAGGC_L004_001_filtered_r1r2combined	western red colobus
Cercopithecus-ascanius_RT2013_CTTGTA_L002_001_filtered_r1r2combined	black-cheeked white-nosed monkey
Cercopithecus-ascanius_RT2017_AGTCAA_L002_001_filtered_r1r2combined	black-cheeked white-nosed monkey
Cercopithecus-ascanius_RT2019_AGTTCC_L002_001_filtered_r1r2combined	black-cheeked white-nosed monkey
Cercopithecus-ascanius_RT2021_ATGTCA_L002_001_filtered_r1r2combined	black-cheeked white-nosed monkey
Cercopithecus-ascanius_RT2048_CCGTCC_L002_001_filtered_r1r2combined	black-cheeked white-nosed monkey
Equus-caballus_SAMEA6809356.ebi_filtered_r1r2combined_sampleCombined	horse
Equus-hemionus_SAMEA6809357.ebi_filtered_r1r2combined_sampleCombined	kulan
Sylvia-atricapilla_SAMEA6809358.ebi_filtered_r1r2combined_sampleCombined	blackcap
Anas-crecca_SAMEA6809359.ebi_filtered_r1r2combined_sampleCombined	Common teal
Mus-musculus_SAMEA6809360.ebi_filtered_r1r2combined_sampleCombined	house mouse
Phodopus-sungorus_SAMEA6809361.ebi_filtered_r1r2combined_sampleCombined	Striped_Desert_Hamster
Vulpes-vulpes_SAMEA6809362.ebi_filtered_r1r2combined_sampleCombined	house mouse
Mus-musculus_SAMEA6809363.ebi_filtered_r1r2combined_sampleCombined	noctule
Nyctalus-noctula_SAMEA6809364.ebi_filtered_r1r2combined_sampleCombined	western European hedgehog
Erinaceus-europaeus_SAMEA6809365.ebi_filtered_r1r2combined_sampleCombined	Eurasian sparrowhawk
Accipiter-nisus_SAMEA6809366.ebi_filtered_r1r2combined_sampleCombined	common kestrel
Falco-tinnunculus_SAMEA6809367.ebi_filtered_r1r2combined_sampleCombined	common kestrel
Falco-tinnunculus_SAMEA6809368.ebi_filtered_r1r2combined_sampleCombined	long-eared owl
Asio-otus_SAMEA6809369.ebi_filtered_r1r2combined_sampleCombined	Ural owl
Strix-uralensis_SAMEA6809370.ebi_filtered_r1r2combined_sampleCombined	onager
Equus-hemionus_SAMEA6809371.ebi_filtered_r1r2combined_sampleCombined	alpine shrew
Sorex-alpinus_SAMEA6809372.ebi_filtered_r1r2combined_sampleCombined	pig
Nyctereutes-procyonoides_SAMEA6809373.ebi_filtered_r1r2combined_sampleCombined	common carp
Sus-scrofa_SAMEA6809374.ebi_filtered_r1r2combined_sampleCombined	White stork
Canis-aureus_SAMEA6809375.ebi_filtered_r1r2combined_sampleCombined	European marmot
Cyprinus-carpio_SAMEA6809376.ebi_filtered_r1r2combined_sampleCombined	European marmot
Ciconia-ciconia_SAMEA6809377.ebi_filtered_r1r2combined_sampleCombined	Alpine ibex
Marmota-marmota_SAMEA6809378.ebi_filtered_r1r2combined_sampleCombined	Alpine ibex
Marmota-marmota_SAMEA6809379.ebi_filtered_r1r2combined_sampleCombined	rock ptarmigan
Capra-ibex_SAMEA6809380.ebi_filtered_r1r2combined_sampleCombined	goat
Capra-ibex_SAMEA6809381.ebi_filtered_r1r2combined_sampleCombined	goat
Lagopus-muta_SAMEA6809382.ebi_filtered_r1r2combined_sampleCombined	horse
Capra-hircus_SAMEA6809383.ebi_filtered_r1r2combined_sampleCombined	domestic pig
Capra-hircus_SAMEA6809384.ebi_filtered_r1r2combined_sampleCombined	gayal
Equus-caballus_SAMEA6809385.ebi_filtered_r1r2combined_sampleCombined	gayal
Sus-scrofa_SAMEA6809386.ebi_filtered_r1r2combined_sampleCombined	Sambar
Bos-frontalis_SAMEA6809387.ebi_filtered_r1r2combined_sampleCombined	cattle
Bos-frontalis_SAMEA6809388.ebi_filtered_r1r2combined_sampleCombined	Bank vole
Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined	northern tree shrew
Canis-lupus_SAMEA6809390.ebi_filtered_r1r2combined_sampleCombined	European woodmouse
Nomascus-gabriellae_SAMEA6809391.ebi_filtered_r1r2combined_sampleCombined	grey heron
Bos-taurus_SAMEA6809392.ebi_filtered_r1r2combined_sampleCombined	white-tailed eagle
Tupaia-belangeri_SAMEA6809393.ebi_filtered_r1r2combined_sampleCombined	white-tailed eagle
Myodes-glareolus_SAMEA6809394.ebi_filtered_r1r2combined_sampleCombined	great cormorant
Tupaia-belangeri_SAMEA6809395.ebi_filtered_r1r2combined_sampleCombined	Fat dormouse
Apodemus-sylvaticus_SAMEA6809396.ebi_filtered_r1r2combined_sampleCombined	Tawny owl
Ardea-cinerea_SAMEA6809397.ebi_filtered_r1r2combined_sampleCombined	blackbird
Haliaeetus-albicilla_SAMEA6809398.ebi_filtered_r1r2combined_sampleCombined	European greenfinch
Haliaeetus-albicilla_SAMEA6809399.ebi_filtered_r1r2combined_sampleCombined	Great Tit
Strix-aluco_SAMEA6809400.ebi_filtered_r1r2combined_sampleCombined	roach minnow
Anser-anser_SAMEA6809401.ebi_filtered_r1r2combined_sampleCombined	common carp
Phalacrocorax-carbo_SAMEA6809402.ebi_filtered_r1r2combined_sampleCombined	Common_Nase
Glis-glis_SAMEA6809403.ebi_filtered_r1r2combined_sampleCombined	European chub
Strix-aluco_SAMEA6809404.ebi_filtered_r1r2combined_sampleCombined	Brown_Trout
Turdus-merula_SAMEA6809405.ebi_filtered_r1r2combined_sampleCombined	rainbow trout
Chloris-chloris_SAMEA6809406.ebi_filtered_r1r2combined_sampleCombined	common house gecko
Parus-major_SAMEA6809407.ebi_filtered_r1r2combined_sampleCombined	common frog
Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined	common frog
Cyprinus-carpio_SAMEA6809409.ebi_filtered_r1r2combined_sampleCombined	agile frog
Chondrostoma-nasus_SAMEA6809410.ebi_filtered_r1r2combined_sampleCombined	human
Squalius-cephalus_SAMEA6809411.ebi_filtered_r1r2combined_sampleCombined	human
Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined	European suslik
Oncorhynchus-mykiss_SAMEA6809413.ebi_filtered_r1r2combined_sampleCombined	Eurasian beaver
Salvelinus-fontinalis_SAMEA6809414.ebi_filtered_r1r2combined_sampleCombined	red deer
Erinaceus-europaeus_SAMEA6809415.ebi_filtered_r1r2combined_sampleCombined	sheep
Hemidactylus-frenatus_SAMEA6809416.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Hemidactylus-frenatus_SAMEA6809417.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Rana-temporaria_SAMEA6809418.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Rana-temporaria_SAMEA6809419.ebi_filtered_r1r2combined_sampleCombined	Yellow-necked field mouse
Rana-dalmatina_SAMEA6809420.ebi_filtered_r1r2combined_sampleCombined	Alpine ibex
Felis-catus_SAMEA6809421.ebi_filtered_r1r2combined_sampleCombined	rabbit
Felis-catus_SAMEA6809422.ebi_filtered_r1r2combined_sampleCombined	brown bear
Homo-sapiens_SAMEA6809423.ebi_filtered_r1r2combined_sampleCombined	river trout
Homo-sapiens_SAMEA6809424.ebi_filtered_r1r2combined_sampleCombined	Aesculapian_Snake
Homo-sapiens_SAMEA6809425.ebi_filtered_r1r2combined_sampleCombined	beach marten
Spermophilus-citellus_SAMEA6809426.ebi_filtered_r1r2combined_sampleCombined	pygmy slow loris
Castor-fiber_SAMEA6809427.ebi_filtered_r1r2combined_sampleCombined	Hatinh langur
Homo-sapiens_SAMEA6809428.ebi_filtered_r1r2combined_sampleCombined	Delacour's langur
Cervus-elaphus_SAMEA6809429.ebi_filtered_r1r2combined_sampleCombined	garden dormouse
Ovis-aries_SAMEA6809430.ebi_filtered_r1r2combined_sampleCombined	Dalmatian_Tortoise
Anser-anser_SAMEA6809431.ebi_filtered_r1r2combined_sampleCombined	Great_Spotted_Woodpecker
Anser-anser_SAMEA6809432.ebi_filtered_r1r2combined_sampleCombined	Yellow-necked field mouse
Anser-anser_SAMEA6809433.ebi_filtered_r1r2combined_sampleCombined	Common_Nase
Anser-anser_SAMEA6809434.ebi_filtered_r1r2combined_sampleCombined	Slow worm
Apodemus-flavicollis_SAMEA6809435.ebi_filtered_r1r2combined_sampleCombined	Eurasian lynx
Capra-ibex_SAMEA6809436.ebi_filtered_r1r2combined_sampleCombined	pike-perch
Oryctolagus-cuniculus_SAMEA6809437.ebi_filtered_r1r2combined_sampleCombined	Eurasian_Woodcock
Corvus-corone_SAMEA6809438.ebi_filtered_r1r2combined_sampleCombined	mute swan
Ursus-arctos_SAMEA6809439.ebi_filtered_r1r2combined_sampleCombined	common pipistrelle
Salmo-trutta_SAMEA6809440.ebi_filtered_r1r2combined_sampleCombined	western marsh harrier
Zamenis-longissimus_SAMEA6809441.ebi_filtered_r1r2combined_sampleCombined	rook
Martes-foina_SAMEA6809442.ebi_filtered_r1r2combined_sampleCombined	rook
Nycticebus-pygmaeus_SAMEA6809443.ebi_filtered_r1r2combined_sampleCombined	Ring-necked pheasant
Nycticebus-pygmaeus_SAMEA6809444.ebi_filtered_r1r2combined_sampleCombined	Ring-necked pheasant
Pygathrix-nemaeus_SAMEA6809445.ebi_filtered_r1r2combined_sampleCombined	barnacle goose
Trachypithecus-hatinhensis_SAMEA6809446.ebi_filtered_r1r2combined_sampleCombined	zingel
Trachypithecus-delacouri_SAMEA6809447.ebi_filtered_r1r2combined_sampleCombined	western gray kangaroo
Eliomys-quercinus_SAMEA6809448.ebi_filtered_r1r2combined_sampleCombined	western gray kangaroo
Nomascus-siki_SAMEA6809449.ebi_filtered_r1r2combined_sampleCombined	tammar wallaby
Podarcis-siculus_SAMEA6809450.ebi_filtered_r1r2combined_sampleCombined	koala
Testudo-hermanni_SAMEA6809451.ebi_filtered_r1r2combined_sampleCombined	Australian echidna
Nyctalus-noctula_SAMEA6809452.ebi_filtered_r1r2combined_sampleCombined	Australian echidna
Delichon-urbicum_SAMEA6809453.ebi_filtered_r1r2combined_sampleCombined	common brushtail
Dendrocopos-major_SAMEA6809454.ebi_filtered_r1r2combined_sampleCombined	common brushtail
Cricetus-cricetus_SAMEA6809455.ebi_filtered_r1r2combined_sampleCombined	eastern gray kangaroo
Apodemus-flavicollis_SAMEA6809456.ebi_filtered_r1r2combined_sampleCombined	central bearded dragon
Chondrostoma-nasus_SAMEA6809457.ebi_filtered_r1r2combined_sampleCombined	galah
Anguis-fragilis_SAMEA6809458.ebi_filtered_r1r2combined_sampleCombined	raccoon dog
Lynx-lynx_SAMEA6809459.ebi_filtered_r1r2combined_sampleCombined	European hare
Sander-lucioperca_SAMEA6809460.ebi_filtered_r1r2combined_sampleCombined	beach marten
Scolopax-rusticola_SAMEA6809461.ebi_filtered_r1r2combined_sampleCombined	Eastern wapiti
Cygnus-olor_SAMEA6809462.ebi_filtered_r1r2combined_sampleCombined	chicken
Pipistrellus-pipistrellus_SAMEA6809463.ebi_filtered_r1r2combined_sampleCombined	Silver_Bream
Ciconia-ciconia_SAMEA6809464.ebi_filtered_r1r2combined_sampleCombined	bleak
Pica-pica_SAMEA6809465.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Circus-aeruginosus_SAMEA6809466.ebi_filtered_r1r2combined_sampleCombined	Ide
Circus-aeruginosus_SAMEA6809467.ebi_filtered_r1r2combined_sampleCombined	harbor porpoise
Corvus-frugilegus_SAMEA6809468.ebi_filtered_r1r2combined_sampleCombined	harbor porpoise
Corvus-frugilegus_SAMEA6809469.ebi_filtered_r1r2combined_sampleCombined	gray seal
Phasianus-colchicus_SAMEA6809470.ebi_filtered_r1r2combined_sampleCombined	harbor seal
Phasianus-colchicus_SAMEA6809471.ebi_filtered_r1r2combined_sampleCombined	sei whale
Lyrurus-tetrix_SAMEA6809472.ebi_filtered_r1r2combined_sampleCombined	Sowerby's beaked whale
Branta-leucopsis_SAMEA6809473.ebi_filtered_r1r2combined_sampleCombined	white-beaked dolphin
Branta-leucopsis_SAMEA6809474.ebi_filtered_r1r2combined_sampleCombined	white-beaked dolphin
Zingel-zingel_SAMEA6809475.ebi_filtered_r1r2combined_sampleCombined	turkey
Macropus-fuliginosus_SAMEA6809476.ebi_filtered_r1r2combined_sampleCombined	western lowland gorilla
Macropus-fuliginosus_SAMEA6809477.ebi_filtered_r1r2combined_sampleCombined	western lowland gorilla
Notamacropus-eugenii_SAMEA6809478.ebi_filtered_r1r2combined_sampleCombined	Sand_Lizard
Eptesicus-sagittula_SAMEA6809479.ebi_filtered_r1r2combined_sampleCombined	greater Indian rhinoceros
Phascolarctos-cinereus_SAMEA6809480.ebi_filtered_r1r2combined_sampleCombined	Alpine_Salamander
Tachyglossus-aculeatus_SAMEA6809481.ebi_filtered_r1r2combined_sampleCombined	brown bear
Tachyglossus-aculeatus_SAMEA6809482.ebi_filtered_r1r2combined_sampleCombined	rabbit
Trichosurus-vulpecula_SAMEA6809483.ebi_filtered_r1r2combined_sampleCombined	mallard
Trichosurus-vulpecula_SAMEA6809484.ebi_filtered_r1r2combined_sampleCombined	European grass snake
Macropus-giganteus_SAMEA6809485.ebi_filtered_r1r2combined_sampleCombined	kinkajou
Pogona-vitticeps_SAMEA6809486.ebi_filtered_r1r2combined_sampleCombined	raccoon
Eolophus-roseicapillus_SAMEA6809487.ebi_filtered_r1r2combined_sampleCombined	Hoffmann's two-fingered sloth
Chalcites-basalis_SAMEA6809488.ebi_filtered_r1r2combined_sampleCombined	Mexican collared anteater
Chalcites-basalis_SAMEA6809489.ebi_filtered_r1r2combined_sampleCombined	Brown-throated sloth
Acanthiza-uropygialis_SAMEA6809490.ebi_filtered_r1r2combined_sampleCombined	white-tailed deer
Nyctereutes-procyonoides_SAMEA6809491.ebi_filtered_r1r2combined_sampleCombined	southern opossum
Calamanthus-cautus_SAMEA6809492.ebi_filtered_r1r2combined_sampleCombined	gray four-eyed opossum
Lepus-europaeus_SAMEA6809493.ebi_filtered_r1r2combined_sampleCombined	Desmarest's spiny pocket mouse
Martes-foina_SAMEA6809494.ebi_filtered_r1r2combined_sampleCombined	fulvous harvest mouse
Cervus-canadensis_SAMEA6809495.ebi_filtered_r1r2combined_sampleCombined	Goldman's water mouse
Gallus-gallus_SAMEA6809496.ebi_filtered_r1r2combined_sampleCombined	Tome's spiny-rat
Aspius-aspius_SAMEA6809497.ebi_filtered_r1r2combined_sampleCombined	dusky rice rat
Blicca-bjoerkna_SAMEA6809498.ebi_filtered_r1r2combined_sampleCombined	koala
Blicca-bjoerkna_SAMEA6809499.ebi_filtered_r1r2combined_sampleCombined	agile frog
Carassius-gibelio_SAMEA6809500.ebi_filtered_r1r2combined_sampleCombined	African savanna elephant
Alburnus-alburnus_SAMEA6809501.ebi_filtered_r1r2combined_sampleCombined	southern two-toed sloth
Anser-anser_SAMEA6809502.ebi_filtered_r1r2combined_sampleCombined	least weasel
Leuciscus-idus_SAMEA6809503.ebi_filtered_r1r2combined_sampleCombined	least weasel
Phocoena-phocoena_SAMEA6809504.ebi_filtered_r1r2combined_sampleCombined	European pine marten
Phocoena-phocoena_SAMEA6809505.ebi_filtered_r1r2combined_sampleCombined	kulan
Halichoerus-grypus_SAMEA6809506.ebi_filtered_r1r2combined_sampleCombined	fat sand rat
Halichoerus-grypus_SAMEA6809507.ebi_filtered_r1r2combined_sampleCombined	fat sand rat
Phoca-vitulina_SAMEA6809508.ebi_filtered_r1r2combined_sampleCombined	pig
Balaenoptera-borealis_SAMEA6809509.ebi_filtered_r1r2combined_sampleCombined	Arctic_Wolf
Mesoplodon-bidens_SAMEA6809510.ebi_filtered_r1r2combined_sampleCombined	greater Indian rhinoceros
Lagenorhynchus-albirostris_SAMEA6809511.ebi_filtered_r1r2combined_sampleCombined	European suslik
Lagenorhynchus-albirostris_SAMEA6809512.ebi_filtered_r1r2combined_sampleCombined	house mouse
Meleagris-gallopavo_SAMEA6809513.ebi_filtered_r1r2combined_sampleCombined	rabbit
Gorilla-gorilla_SAMEA6809514.ebi_filtered_r1r2combined_sampleCombined	Przewalski_horse
Gorilla-gorilla_SAMEA6809515.ebi_filtered_r1r2combined_sampleCombined	Przewalski_horse
Bufotes-viridis_SAMEA6809516.ebi_filtered_r1r2combined_sampleCombined	Morelet's crocodile
Lacerta-agilis_SAMEA6809517.ebi_filtered_r1r2combined_sampleCombined	Eurasian_Reed_Warbler
Rhinoceros-unicornis_SAMEA6809518.ebi_filtered_r1r2combined_sampleCombined	chamois
Salamandra-atra_SAMEA6809519.ebi_filtered_r1r2combined_sampleCombined	brindled gnu
Manis-temminckii_SAMEA6809520.ebi_filtered_r1r2combined_sampleCombined	brindled gnu
Ursus-arctos_SAMEA6809521.ebi_filtered_r1r2combined_sampleCombined	Chacma baboon
Oryctolagus-cuniculus_SAMEA6809522.ebi_filtered_r1r2combined_sampleCombined	thick-tailed bush baby
Anas-platyrhynchos_SAMEA6809523.ebi_filtered_r1r2combined_sampleCombined	Nile crocodile
Natrix-natrix_SAMEA6809524.ebi_filtered_r1r2combined_sampleCombined	African savanna elephant
Potos-flavus_SAMEA6809525.ebi_filtered_r1r2combined_sampleCombined	impala
Procyon-lotor_SAMEA6809526.ebi_filtered_r1r2combined_sampleCombined	Wild Bactrian camel
Choloepus-hoffmanni_SAMEA6809527.ebi_filtered_r1r2combined_sampleCombined	impala
Choloepus-hoffmanni_SAMEA6809528.ebi_filtered_r1r2combined_sampleCombined	leopard
Tamandua-mexicana_SAMEA6809529.ebi_filtered_r1r2combined_sampleCombined	lion
Tamandua-mexicana_SAMEA6809530.ebi_filtered_r1r2combined_sampleCombined	lion
Bradypus-variegatus_SAMEA6809531.ebi_filtered_r1r2combined_sampleCombined	Vervet_Monkey
Odocoileus-virginianus_SAMEA6809532.ebi_filtered_r1r2combined_sampleCombined	white rhinoceros
Didelphis-marsupialis_SAMEA6809533.ebi_filtered_r1r2combined_sampleCombined	giraffe
Philander-opossum_SAMEA6809534.ebi_filtered_r1r2combined_sampleCombined	giraffe
Heteromys-desmarestianus_SAMEA6809535.ebi_filtered_r1r2combined_sampleCombined	African buffalo
Reithrodontomys-fulvescens_SAMEA6809536.ebi_filtered_r1r2combined_sampleCombined	cattle
Rheomys-raptor_SAMEA6809537.ebi_filtered_r1r2combined_sampleCombined	hippopotamus
Proechimys-semispinosus_SAMEA6809538.ebi_filtered_r1r2combined_sampleCombined	hippopotamus
Melanomys-caliginosus_SAMEA6809539.ebi_filtered_r1r2combined_sampleCombined	Quagga
Spermophilus-citellus_SAMEA6809540.ebi_filtered_r1r2combined_sampleCombined	emu
Phascolarctos-cinereus_SAMEA6809541.ebi_filtered_r1r2combined_sampleCombined	Ural owl
Rana-dalmatina_SAMEA6809542.ebi_filtered_r1r2combined_sampleCombined	giraffe
Loxodonta-africana_SAMEA6809543.ebi_filtered_r1r2combined_sampleCombined	goitered gazelle
Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2combined_sampleCombined	giraffe
Dromaius-novaehollandiae_SAMEA6809545.ebi_filtered_r1r2combined_sampleCombined	Quagga
Mustela-nivalis_SAMEA6809546.ebi_filtered_r1r2combined_sampleCombined	Vervet_Monkey
Mustela-nivalis_SAMEA6809547.ebi_filtered_r1r2combined_sampleCombined	brindled gnu
Martes-martes_SAMEA6809548.ebi_filtered_r1r2combined_sampleCombined	red fox
Equus-hemionus_SAMEA6809549.ebi_filtered_r1r2combined_sampleCombined	European hare
Psammomys-obesus_SAMEA6809550.ebi_filtered_r1r2combined_sampleCombined	European chub
Psammomys-obesus_SAMEA6809551.ebi_filtered_r1r2combined_sampleCombined	Common_Rudd
Sus-scrofa_SAMEA6809552.ebi_filtered_r1r2combined_sampleCombined	European perch
Canis-lupus_SAMEA6809553.ebi_filtered_r1r2combined_sampleCombined	mouflon
Canis-lupus_SAMEA6809554.ebi_filtered_r1r2combined_sampleCombined	Western roe deer
Lynx-lynx_SAMEA6809555.ebi_filtered_r1r2combined_sampleCombined	black-bellied hamster
Rhinoceros-unicornis_SAMEA6809556.ebi_filtered_r1r2combined_sampleCombined	Arabian camel
Spermophilus-citellus_SAMEA6809557.ebi_filtered_r1r2combined_sampleCombined	steppe polecat
Mus-musculus_SAMEA6809558.ebi_filtered_r1r2combined_sampleCombined	steppe polecat
Oryctolagus-cuniculus_SAMEA6809559.ebi_filtered_r1r2combined_sampleCombined	European polecat
Equus-przewalskii_SAMEA6809560.ebi_filtered_r1r2combined_sampleCombined	onager
Equus-przewalskii_SAMEA6809561.ebi_filtered_r1r2combined_sampleCombined	Eurasian beaver
Crocodylus-moreletii_SAMEA6809562.ebi_filtered_r1r2combined_sampleCombined	Eurasian river otter
Acrocephalus-scirpaceus_SAMEA6809563.ebi_filtered_r1r2combined_sampleCombined	Eurasian river otter
Rupicapra-rupicapra_SAMEA6809564.ebi_filtered_r1r2combined_sampleCombined	ruffe
Connochaetes-taurinus_SAMEA6809565.ebi_filtered_r1r2combined_sampleCombined	Common_Rudd
Connochaetes-taurinus_SAMEA6809566.ebi_filtered_r1r2combined_sampleCombined	eurasian chiffchaff
Papio-ursinus_SAMEA6809567.ebi_filtered_r1r2combined_sampleCombined	Fat dormouse
Otolemur-crassicaudatus_SAMEA6809568.ebi_filtered_r1r2combined_sampleCombined	garden dormouse
Crocodylus-niloticus_SAMEA6809569.ebi_filtered_r1r2combined_sampleCombined	Dunnock
Loxodonta-africana_SAMEA6809570.ebi_filtered_r1r2combined_sampleCombined	Lesser white-toothed shrew
Aepyceros-melampus_SAMEA6809571.ebi_filtered_r1r2combined_sampleCombined	domestic pig
Camelus-ferus_SAMEA6809572.ebi_filtered_r1r2combined_sampleCombined	Eurasian red squirrel
Aepyceros-melampus_SAMEA6809573.ebi_filtered_r1r2combined_sampleCombined	Wood_Sandpiper
Panthera-pardus_SAMEA6809574.ebi_filtered_r1r2combined_sampleCombined	common bream
Panthera-leo_SAMEA6809575.ebi_filtered_r1r2combined_sampleCombined	great cormorant
Panthera-leo_SAMEA6809576.ebi_filtered_r1r2combined_sampleCombined	northern pike
Chlorocebus-pygerythrus_SAMEA6809577.ebi_filtered_r1r2combined_sampleCombined	fallow deer
Ceratotherium-simum_SAMEA6809578.ebi_filtered_r1r2combined_sampleCombined	fallow deer
Giraffa-camelopardalis_SAMEA6809579.ebi_filtered_r1r2combined_sampleCombined	Eurasian lynx
Giraffa-camelopardalis_SAMEA6809580.ebi_filtered_r1r2combined_sampleCombined	Shy Hylacola
Syncerus-caffer_SAMEA6809581.ebi_filtered_r1r2combined_sampleCombined	chestnut-rumped thornbill
Lepus-tolai_SAMEA6809582.ebi_filtered_r1r2combined_sampleCombined	carrion crow
Bos-taurus_SAMEA6809583.ebi_filtered_r1r2combined_sampleCombined	brook trout
Hippopotamus-amphibius_SAMEA6809584.ebi_filtered_r1r2combined_sampleCombined	gray wolf
Hippopotamus-amphibius_SAMEA6809585.ebi_filtered_r1r2combined_sampleCombined	chinkara
Equus-burchellii_SAMEA6809586.ebi_filtered_r1r2combined_sampleCombined	northern pike
Dromaius-novaehollandiae_SAMEA6809587.ebi_filtered_r1r2combined_sampleCombined	Asp
Strix-uralensis_SAMEA6809588.ebi_filtered_r1r2combined_sampleCombined	common toad
Dendrocopos-major_SAMEA6809589.ebi_filtered_r1r2combined_sampleCombined	common toad
Giraffa-camelopardalis_SAMEA6809590.ebi_filtered_r1r2combined_sampleCombined	Wood_Sandpiper
Gazella-subgutturosa_SAMEA6809591.ebi_filtered_r1r2combined_sampleCombined	dog
Giraffa-camelopardalis_SAMEA6809592.ebi_filtered_r1r2combined_sampleCombined	Great_Spotted_Woodpecker
Equus-burchellii_SAMEA6809593.ebi_filtered_r1r2combined_sampleCombined	Arctic_Wolf
Chlorocebus-pygerythrus_SAMEA6809594.ebi_filtered_r1r2combined_sampleCombined	emu
Connochaetes-taurinus_SAMEA6809595.ebi_filtered_r1r2combined_sampleCombined	European suslik
