SampleID	SubjectID	SubjectID2	SubjectID3	captive_wild	Primary_dietary_category_jeff	bloodfeeder	flight_status	flight_type	Corrected_species_name	CorrectedSpeciesName2	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum
Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined	Carollia_sowelli	Carollia~sowelli	Carollia-sowelli	wild	fruigivore 	no	flighted	strong	Carollia_sowelli	CarolliaSowelli	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined	Casuarius_casuarius_1	Casuarius~casuarius~1	Casuarius-casuarius-1	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined	Casuarius_casuarius_2	Casuarius~casuarius~2	Casuarius-casuarius-2	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_24086_host_filtered_r1r2combined	Casuarius_casuarius_3	Casuarius~casuarius~3	Casuarius-casuarius-3	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_25069_host_filtered_r1r2combined	Casuarius_casuarius_4	Casuarius~casuarius~4	Casuarius-casuarius-4	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_24060_host_filtered_r1r2combined	Chrysolophus_pictus	Chrysolophus~pictus	Chrysolophus-pictus	captive	Omnivore	no	flighted	strong	Chrysolophus_pictus	ChrysolophusPictus	Aves	Phasianidae	Chrysolophus	Metazoa	Galliformes	Chordata
Song52_25150_host_filtered_r1r2combined	Cornufer_guentheri	Cornufer~guentheri	Cornufer-guentheri	captive	Carnivore	no	flightless	flightless	Cornufer_guentheri	CornuferGuentheri	Amphibia	Ceratobatrachidae	Cornufer	Metazoa	Anura	Chordata
Song52_25079_host_filtered_r1r2combined	Crocodylus_rhombifer	Crocodylus~rhombifer	Crocodylus-rhombifer	captive	Carnivore	no	flightless	flightless	Crocodylus_rhombifer	CrocodylusRhombifer	Crocodylomorpha	Crocodylidae	Crocodylus	Metazoa	Crocodylia	Chordata
Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined	Crocuta_crocuta	Crocuta~crocuta	Crocuta-crocuta	captive	Carnivore	no	flightless	flightless	Crocuta_crocuta	CrocutaCrocuta	Mammalia	Hyaenidae	Crocuta	Metazoa	Carnivora	Chordata
Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined	Cryptoprocta_ferox	Cryptoprocta~ferox	Cryptoprocta-ferox	captive	Carnivore	no	flightless	flightless	Cryptoprocta_ferox	CryptoproctaFerox	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Chordata
Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	Cynomys_ludovicianus	Cynomys~ludovicianus	Cynomys-ludovicianus	captive	Omnivore	no	flightless	flightless	Cynomys_ludovicianus	CynomysLudovicianus	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia	Chordata
Song53_24326_host_filtered_r1r2combined	Dendrocygna_viduata	Dendrocygna~viduata	Dendrocygna-viduata	captive	Herbivore	no	flighted	strong	Dendrocygna_viduata	DendrocygnaViduata	Aves	Anatidae	Dendrocygna	Metazoa	Anseriformes	Chordata
Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined	Desmodus_rotundus_1	Desmodus~rotundus~1	Desmodus-rotundus-1	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined	Desmodus_rotundus_2	Desmodus~rotundus~2	Desmodus-rotundus-2	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined	Desmodus_rotundus_3	Desmodus~rotundus~3	Desmodus-rotundus-3	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined	Desmodus_rotundus_4	Desmodus~rotundus~4	Desmodus-rotundus-4	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined	Desmodus_rotundus_5	Desmodus~rotundus~5	Desmodus-rotundus-5	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined	Desmodus_rotundus_6	Desmodus~rotundus~6	Desmodus-rotundus-6	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined	Desmodus_rotundus_7	Desmodus~rotundus~7	Desmodus-rotundus-7	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined	Desmodus_rotundus_8	Desmodus~rotundus~8	Desmodus-rotundus-8	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Song51_24081_host_filtered_r1r2combined	Diceros_bicornis	Diceros~bicornis	Diceros-bicornis	captive	Herbivore	no	flightless	flightless	Diceros_bicornis	DicerosBicornis	Mammalia	Rhinocerotidae	Diceros	Metazoa	Perissodactyla	Chordata
Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined	Dromaius_novaehollandiae_1	Dromaius~novaehollandiae~1	Dromaius-novaehollandiae-1	captive	Omnivore	no	flightless	flightless	Dromaius_novaehollandiae	DromaiusNovaehollandiae	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Chordata
Song53_24100_host_filtered_r1r2combined	Dromaius_novaehollandiae_2	Dromaius~novaehollandiae~2	Dromaius-novaehollandiae-2	captive	Omnivore	no	flightless	flightless	Dromaius_novaehollandiae	DromaiusNovaehollandiae	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Chordata
Song51_24758_host_filtered_r1r2combined	Echinops_telfairi	Echinops~telfairi	Echinops-telfairi	captive	Carnivore	no	flightless	flightless	Echinops_telfairi	EchinopsTelfairi	Mammalia	Tenrecidae	Echinops	Metazoa	Afrosoricida	Chordata
Song51_25122_host_filtered_r1r2combined	Equus_burchellii	Equus~burchellii	Equus-burchellii	captive	Herbivore	no	flightless	flightless	Equus_burchellii	EquusBurchellii	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Chordata
Song51_24711_host_filtered_r1r2combined	Equus_przewalskii	Equus~przewalskii	Equus-przewalskii	captive	Herbivore	no	flightless	flightless	Equus_przewalskii	EquusPrzewalskii	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Chordata
Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined	Eudromia_elegans_1	Eudromia~elegans~1	Eudromia-elegans-1	captive	Omnivore	no	flighted	weak	Eudromia_elegans	EudromiaElegans	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Chordata
Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined	Eudromia_elegans_2	Eudromia~elegans~2	Eudromia-elegans-2	captive	Omnivore	no	flighted	weak	Eudromia_elegans	EudromiaElegans	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Chordata
Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined	Eudromia_elegans_3	Eudromia~elegans~3	Eudromia-elegans-3	captive	Omnivore	no	flighted	weak	Eudromia_elegans	EudromiaElegans	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Chordata
Song52_25041_host_filtered_r1r2combined	Eunectes_murinus	Eunectes~murinus	Eunectes-murinus	captive	Carnivore	no	flightless	flightless	Eunectes_murinus	EunectesMurinus	Lepidosauria	Boidae	Eunectes	Metazoa	Squamata	Chordata
Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined	Falco_biarmicus	Falco~biarmicus	Falco-biarmicus	captive	Carnivore	no	flighted	strong	Falco_biarmicus	FalcoBiarmicus	Aves	Falconidae	Falco	Metazoa	Falconiformes	Chordata
Song51_24733_host_filtered_r1r2combined	Felis_margarita	Felis~margarita	Felis-margarita	captive	Carnivore	no	flightless	flightless	Felis_margarita	FelisMargarita	Mammalia	Felidae	Felis	Metazoa	Carnivora	Chordata
Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined	Geospiza_acutirostris_1	Geospiza~acutirostris~1	Geospiza-acutirostris-1	wild	Omnivore	no	flighted	strong	Geospiza_acutirostris	GeospizaAcutirostris	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined	Geospiza_acutirostris_2	Geospiza~acutirostris~2	Geospiza-acutirostris-2	wild	Omnivore	no	flighted	strong	Geospiza_acutirostris	GeospizaAcutirostris	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined	Geospiza_difficilis_1	Geospiza~difficilis~1	Geospiza-difficilis-1	wild	Omnivore	no	flighted	strong	Geospiza_difficilis	GeospizaDifficilis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined	Geospiza_difficilis_2	Geospiza~difficilis~2	Geospiza-difficilis-2	wild	Omnivore	no	flighted	strong	Geospiza_difficilis	GeospizaDifficilis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D703-AK1681_filtered_r1r2combined	Geospiza_septentrionalis_1	Geospiza~septentrionalis~1	Geospiza-septentrionalis-1	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D712-AK1681_filtered_r1r2combined	Geospiza_septentrionalis_10	Geospiza~septentrionalis~10	Geospiza-septentrionalis-10	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D710-AK1543_filtered_r1r2combined	Geospiza_septentrionalis_2	Geospiza~septentrionalis~2	Geospiza-septentrionalis-2	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D710-AK1544_filtered_r1r2combined	Geospiza_septentrionalis_3	Geospiza~septentrionalis~3	Geospiza-septentrionalis-3	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined	Geospiza_septentrionalis_4	Geospiza~septentrionalis~4	Geospiza-septentrionalis-4	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D710-AK1780_filtered_r1r2combined	Geospiza_septentrionalis_5	Geospiza~septentrionalis~5	Geospiza-septentrionalis-5	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D711-AK1546_filtered_r1r2combined	Geospiza_septentrionalis_6	Geospiza~septentrionalis~6	Geospiza-septentrionalis-6	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D711-AK1680_filtered_r1r2combined	Geospiza_septentrionalis_7	Geospiza~septentrionalis~7	Geospiza-septentrionalis-7	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D711-AK1681_filtered_r1r2combined	Geospiza_septentrionalis_8	Geospiza~septentrionalis~8	Geospiza-septentrionalis-8	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Geospiza-septentrionalis_S_S_Temp_D711-AK1780_filtered_r1r2combined	Geospiza_septentrionalis_9	Geospiza~septentrionalis~9	Geospiza-septentrionalis-9	wild	Carnivore	yes	flighted	strong	Geospiza_septentrionalis	GeospizaSeptentrionalis	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Chordata
Song51_24059_host_filtered_r1r2combined	Giraffa_camelopardalis	Giraffa~camelopardalis	Giraffa-camelopardalis	captive	Herbivore	no	flightless	flightless	Giraffa_camelopardalis	GiraffaCamelopardalis	Mammalia	Giraffidae	Giraffa	Metazoa	Cetartiodactyla	Chordata
Glossophaga-morenoi_S_S_Temp_D708-AK1546_filtered_r1r2combined	Glossophaga_morenoi	Glossophaga~morenoi	Glossophaga-morenoi	wild	Omnivore	no	flighted	strong	Glossophaga_morenoi	GlossophagaMorenoi	Mammalia	Phyllostomidae	Glossophaga	Metazoa	Chiroptera	Chordata
Song51_25120_host_filtered_r1r2combined	Gorilla_gorilla	Gorilla~gorilla	Gorilla-gorilla	captive	Herbivore	no	flightless	flightless	Gorilla_gorilla	GorillaGorilla	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Chordata
Song53_25014_host_filtered_r1r2combined	Grus_americana	Grus~americana	Grus-americana	captive	Omnivore	no	flighted	strong	Grus_americana	GrusAmericana	Aves	Gruidae	Grus	Metazoa	Gruiformes	Chordata
Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined	Haliaeetus_leucocephalus	Haliaeetus~leucocephalus	Haliaeetus-leucocephalus	captive	Carnivore	no	flighted	strong	Haliaeetus_leucocephalus	HaliaeetusLeucocephalus	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Chordata
Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined	Helogale_parvula_1	Helogale~parvula~1	Helogale-parvula-1	captive	Carnivore	no	flightless	flightless	Helogale_parvula	HelogaleParvula	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Chordata
Song51_24713_host_filtered_r1r2combined	Helogale_parvula_2	Helogale~parvula~2	Helogale-parvula-2	captive	Carnivore	no	flightless	flightless	Helogale_parvula	HelogaleParvula	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Chordata
Hyaena-hyaena_S_S_Temp_D701-AK1680_filtered_r1r2combined	Hyaena_hyaena	Hyaena~hyaena	Hyaena-hyaena	captive	Carnivore	no	flightless	flightless	Hyaena_hyaena	HyaenaHyaena	Mammalia	Hyaenidae	Hyaena	Metazoa	Carnivora	Chordata
Song51_24675_host_filtered_r1r2combined	Hypogeomys_antinena	Hypogeomys~antinena	Hypogeomys-antinena	captive	Omnivore	no	flightless	flightless	Hypogeomys_antinena	HypogeomysAntinena	Mammalia	Nesomyidae	Hypogeomys	Metazoa	Rodentia	Chordata
Ichthyomyzon-fossor_S_S_Temp_D702-AK1681_filtered_r1r2combined	Ichthyomyzon_fossor_1	Ichthyomyzon~fossor~1	Ichthyomyzon-fossor-1	wild	Filter feeder	no	flightless	flightless	Ichthyomyzon_fossor	IchthyomyzonFossor	Petromyzontida	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Chordata
Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined	Ichthyomyzon_fossor_2	Ichthyomyzon~fossor~2	Ichthyomyzon-fossor-2	wild	Filter feeder	no	flightless	flightless	Ichthyomyzon_fossor	IchthyomyzonFossor	Petromyzontida	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Chordata
Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined	Ichthyomyzon_fossor_3	Ichthyomyzon~fossor~3	Ichthyomyzon-fossor-3	wild	Filter feeder	no	flightless	flightless	Ichthyomyzon_fossor	IchthyomyzonFossor	Petromyzontida	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Chordata
Ichthyomyzon-fossor_S_S_Temp_D711-AK1682_filtered_r1r2combined	Ichthyomyzon_fossor_4	Ichthyomyzon~fossor~4	Ichthyomyzon-fossor-4	wild	Filter feeder	no	flightless	flightless	Ichthyomyzon_fossor	IchthyomyzonFossor	Petromyzontida	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Chordata
Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined	Lampetra_appendix_1	Lampetra~appendix~1	Lampetra-appendix-1	wild	Filter feeder	no	flightless	flightless	Lampetra_appendix	LampetraAppendix	Petromyzontida	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Chordata
Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined	Lampetra_appendix_2	Lampetra~appendix~2	Lampetra-appendix-2	wild	Filter feeder	no	flightless	flightless	Lampetra_appendix	LampetraAppendix	Petromyzontida	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Chordata
Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined	Lampetra_appendix_3	Lampetra~appendix~3	Lampetra-appendix-3	wild	Filter feeder	no	flightless	flightless	Lampetra_appendix	LampetraAppendix	Petromyzontida	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Chordata
Song51_24592_host_filtered_r1r2combined	Lemur_catta	Lemur~catta	Lemur-catta	captive	Omnivore	no	flightless	flightless	Lemur_catta	LemurCatta	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Chordata
Song52_25144_host_filtered_r1r2combined	Lepidobatrachus_asper	Lepidobatrachus~asper	Lepidobatrachus-asper	captive	Omnivore	no	flightless	flightless	Lepidobatrachus_asper	LepidobatrachusAsper	Amphibia	Ceratophryidae	Lepidobatrachus	Metazoa	Anura	Chordata
