SampleID	SubjectID	SubjectID2	SubjectID3	captive_wild	Primary_dietary_category_jeff	bloodfeeder	flight_status	flight_type	Corrected_species_name	CorrectedSpeciesName2	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum
Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined	Petromyzon_marinus_8	Petromyzon~marinus~8	Petromyzon-marinus-8	wild	Carnivore	yes	flightless	flightless	Petromyzon_marinus	PetromyzonMarinus	Petromyzontida	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Chordata
Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined	Petromyzon_marinus_9	Petromyzon~marinus~9	Petromyzon-marinus-9	wild	Carnivore	yes	flightless	flightless	Petromyzon_marinus	PetromyzonMarinus	Petromyzontida	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Chordata
Song52_24080_host_filtered_r1r2combined	Pseudopus_apodus	Pseudopus~apodus	Pseudopus-apodus	captive	Carnivore	no	flightless	flightless	Pseudopus_apodus	PseudopusApodus	Lepidosauria	Anguidae	Pseudopus	Metazoa	Squamata	Chordata
Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined	Pterocnemia_pennata	Pterocnemia~pennata	Pterocnemia-pennata	captive	Omnivore	no	flightless	flightless	Pterocnemia_pennata	PterocnemiaPennata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Chordata
Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined	Pteromys_volans_1	Pteromys~volans~1	Pteromys-volans-1	wild	Herbivore	no	flightless	glider	Pteromys_volans	PteromysVolans	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Chordata
Pteromys-volans_S_S_Temp_D703-AK1545_filtered_r1r2combined	Pteromys_volans_2	Pteromys~volans~2	Pteromys-volans-2	wild	Herbivore	no	flightless	glider	Pteromys_volans	PteromysVolans	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Chordata
Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined	Pteromys_volans_3	Pteromys~volans~3	Pteromys-volans-3	wild	Herbivore	no	flightless	glider	Pteromys_volans	PteromysVolans	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Chordata
Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	Pteromys_volans_4	Pteromys~volans~4	Pteromys-volans-4	wild	Herbivore	no	flightless	glider	Pteromys_volans	PteromysVolans	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Chordata
Pteromys-volans_S_S_Temp_D708-AK1681_filtered_r1r2combined	Pteromys_volans_5	Pteromys~volans~5	Pteromys-volans-5	wild	Herbivore	no	flightless	glider	Pteromys_volans	PteromysVolans	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Chordata
Song75_24084_host_filtered_r1r2combined	Pteronura_brasiliensis	Pteronura~brasiliensis	Pteronura-brasiliensis	captive	Carnivore	no	flightless	flightless	Pteronura_brasiliensis	PteronuraBrasiliensis	Mammalia	Mustelidae	Pteronura	Metazoa	Carnivora	Chordata
