SampleID	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined	11166.lamprey.24155.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined.fastq.gz	36998476	10105914	7.004575598	7	northern_brook_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon_fossor	Petromyzon_marinus	Ichthyomyzon_fossor	northern_brook_lamprey	flightless	NA	NA	USA	NA	NA	filter_feeder	carnivore	wild
Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined	11166.lamprey.24157.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined.fastq.gz	10643132	3366770	6.527213449	7	northern_brook_lamprey.4	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon_fossor	Petromyzon_marinus	Ichthyomyzon_fossor	northern_brook_lamprey	flightless	NA	NA	USA	NA	NA	filter_feeder	carnivore	wild
Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined	11166.ATL.24061.b.ostrich	11166	Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined.fastq.gz	86144576	86090266	7.93495405	8	ostrich.3	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio_camelus	Struthio_camelus	Struthio_camelus	Ostrich	flightless	NA	NA	USA	NA	NA	herbivore	herbivore	captive
Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined	11166.FD.0210.ostrich	11166	Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined.fastq.gz	23858614	23843970	7.377378567	7	ostrich.4	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio_camelus	Struthio_camelus	Struthio_camelus	ostrich	flightless	NA	NA	France	NA	NA	herbivore	herbivore	captive
Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	11166.ATL.24614.prairiedog	11166	Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined.fastq.gz	23061908	22971688	7.361192909	7	prairie_dog.1	Chordata	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia	Cynomys_ludovicianus	#N/A	Cynomys_ludovicianus	Prairie_dog	flightless	NA	NA	USA	NA	NA	herbivore	herbivore	captive
Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined	11166.FD.0488.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined.fastq.gz	79963254	79270794	7.899113208	8	prevosts_squirrel.1	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus_prevostii	Sciurus_vulgaris	Callosciurus_prevostii	Prevosts_squirrel	flightless	NA	NA	France	NA	NA	omnivore	omnivore	captive
Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined	11166.NATL.24331.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined.fastq.gz	82407684	82404306	7.915949906	8	prevosts_squirrel.2	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus_prevostii	Sciurus_vulgaris	Callosciurus_prevostii	prevosts_squirrel	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined	11166.NATL.24622.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined.fastq.gz	6845918	6845436	6.835401114	7	prevosts_squirrel.3	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus_prevostii	Sciurus_vulgaris	Callosciurus_prevostii	prevosts_squirrel	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Buteo-jamaicensis_S_S_Temp_D707-AK1680_filtered_r1r2combined	11166.ATL.24545.hawk	11166	Buteo-jamaicensis_S_S_Temp_D707-AK1680_filtered_r1r2combined.fastq.gz	12993396	12991548	7.113660902	7	red_tailed_hawk.1	Chordata	Aves	Accipitridae	Buteo	Metazoa	Falconiformes	Buteo_jamaicensis	Buteo_japonicus	Buteo_jamaicensis	Red_tailed_hawk	flighted	NA	NA	USA	NA	NA	carnivore_scavenger	carnivore	captive
Rhea-americana_S_S_Temp_D705-AK1543_filtered_r1r2combined	11166.NATL.24107.rhea	11166	Rhea-americana_S_S_Temp_D705-AK1543_filtered_r1r2combined.fastq.gz	51187034	51041894	7.707926781	8	rhea.2	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	rhea	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
