SampleID	sample_name_2	studyID	SampleID2	file_filtered_r1r2_combined	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type
Ateles_belzebuth	11212.AtbelzLink1	11212	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined.fastq.gz	19723536	white-bellied_spider_monkey.1	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	white-bellied spider monkey	flightless		Not	Ecuador	Rainforest	stool
Ateles_belzebuth	11212.AtbelzLink2	11212	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined.fastq.gz	12032286	white-bellied_spider_monkey.2	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	white-bellied spider monkey	flightless		Not	Ecuador	Rainforest	stool
Ateles_belzebuth	11212.AtbelzLink3	11212	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined.fastq.gz	18512094	white-bellied_spider_monkey.3	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	white-bellied spider monkey	flightless		Not	Ecuador	Rainforest	stool
Ateles_belzebuth	11212.AtbelzLink4	11212	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined.fastq.gz	14116372	white-bellied_spider_monkey.4	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	white-bellied spider monkey	flightless		Not	Ecuador	Rainforest	stool
Ateles_belzebuth	11212.AtbelzLink5	11212	Ateles-belzebuth_AtbelzLink5_GCCAAT_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink5_GCCAAT_L002_001_filtered_r1r2combined.fastq.gz	8642862	white-bellied_spider_monkey.5	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	white-bellied spider monkey	flightless		Not	Ecuador	Rainforest	stool
Dendrocygna_viduata	13114.song.53.s009	13114	Dendrocygna-viduata_Song53_24326_host_filtered_r1r2combined	Dendrocygna-viduata_Song53_24326_host_filtered_r1r2combined.fastq.gz	7060682	white-faced_whistling_duck.1	Chordata	Aves	Anatidae	Dendrocygna	Metazoa	Anseriformes	Dendrocygna viduata	White-faced whistling duck	flighted	"terrestrial, flight"	omnivore			
Odocoileus_virginianus	13881.SAMEA6809578	13881	Odocoileus-virginianus_SAMEA6809532.ebi_filtered_r1r2combined_sampleCombined	Odocoileus-virginianus_SAMEA6809532.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	13920336	white-tailed_deer.1	Chordata	Mammalia	Cervidae	Odocoileus	Metazoa	Artiodactyla	Odocoileus virginianus	white-tailed deer				Costa Rica		feces
Haliaeetus_albicilla	13881.SAMEA6809406	13881	Haliaeetus-albicilla_SAMEA6809398.ebi_filtered_r1r2combined_sampleCombined	Haliaeetus-albicilla_SAMEA6809398.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2708904	white-tailed_eagle.1	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Accipitriformes	Haliaeetus albicilla	white-tailed eagle				Austria		gut
Haliaeetus_albicilla	13881.SAMEA6809407	13881	Haliaeetus-albicilla_SAMEA6809399.ebi_filtered_r1r2combined_sampleCombined	Haliaeetus-albicilla_SAMEA6809399.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3867176	white-tailed_eagle.2	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Accipitriformes	Haliaeetus albicilla	white-tailed eagle				Austria		gut
Grus_americana	13114.song.53.s014	13114	Grus-americana_Song53_25014_host_filtered_r1r2combined	Grus-americana_Song53_25014_host_filtered_r1r2combined.fastq.gz	25151286	whooping_crane.1	Chordata	Aves	Gruidae	Grus	Metazoa	Gruiformes	Grus americana	Whooping crane	flighted	"terrestrial, flight"	omnivore			
Camelus_ferus	13881.SAMEA6809632	13881	Camelus-ferus_SAMEA6809572.ebi_filtered_r1r2combined_sampleCombined	Camelus-ferus_SAMEA6809572.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	8415694	wild_bactrian_camel.1	Chordata	Mammalia	Camelidae	Camelus	Metazoa	Artiodactyla	Camelus ferus	Wild Bactrian camel				Mongolia		feces
Tringa_glareola	13881.SAMEA6809626	13881	Tringa-glareola_SAMEA6809633.ebi_filtered_r1r2combined_sampleCombined	Tringa-glareola_SAMEA6809633.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2748924	wood_sandpiper.1	Chordata	Aves	Scolopacidae	Tringa	Metazoa	Charadriiformes	Tringa glareola	Wood_Sandpiper				Austria		feces
Tringa_glareola	13881.SAMEA6809623	13881	Tringa-glareola_SAMEA6809634.ebi_filtered_r1r2combined_sampleCombined	Tringa-glareola_SAMEA6809634.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2475222	wood_sandpiper.2	Chordata	Aves	Scolopacidae	Tringa	Metazoa	Charadriiformes	Tringa glareola	Wood_Sandpiper				Austria		feces
Rhyticeros_undulatus	13114.song.53.s002	13114	Rhyticeros-undulatus_Song53_24055_host_filtered_r1r2combined	Rhyticeros-undulatus_Song53_24055_host_filtered_r1r2combined.fastq.gz	19175798	wreathed_hornbill.1	Chordata	Aves	Bucerotidae	Rhyticeros	Metazoa	Bucerotiformes	Rhyticeros undulatus	Wreathed hornbill	flighted	"terrestrial, flight"	omnivore			
Apodemus_flavicollis	13881.SAMEA6809459	13881	Apodemus-flavicollis_SAMEA6809435.ebi_filtered_r1r2combined_sampleCombined	Apodemus-flavicollis_SAMEA6809435.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10069464	yellow-necked_field_mouse.1	Chordata	Mammalia	Muridae	Apodemus	Metazoa	Rodentia	Apodemus flavicollis	Yellow-necked field mouse				Austria		gut
Apodemus_flavicollis	13881.SAMEA6809486	13881	Apodemus-flavicollis_SAMEA6809456.ebi_filtered_r1r2combined_sampleCombined	Apodemus-flavicollis_SAMEA6809456.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7543592	yellow-necked_field_mouse.2	Chordata	Mammalia	Muridae	Apodemus	Metazoa	Rodentia	Apodemus flavicollis	Yellow-necked field mouse				Austria		gut
Equus_burchellii	13114.song.51.s017	13114	Equus-burchellii_Song51_25122_host_filtered_r1r2combined	Equus-burchellii_Song51_25122_host_filtered_r1r2combined.fastq.gz	4643292	zebra.1	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus burchellii	Zebra	flightless	"terrestrial, flightless"	herbivore			
Zingel_zingel	13881.SAMEA6809513	13881	Zingel-zingel_SAMEA6809475.ebi_filtered_r1r2combined_sampleCombined	Zingel-zingel_SAMEA6809475.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	361858	zingel.1	Chordata	Actinopterygii	Percidae	Zingel	Metazoa	Perciformes	Zingel zingel	zingel				Austria		gut
