SampleID	SampleID2	sample_name2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
Papio_ursinus	Papio-ursinus_SAMEA6809567.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809567	13881	Papio-ursinus_SAMEA6809567.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	6095010	6094488	chacma_baboon.1	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio_ursinus	Papio_anubis	Papio_ursinus	Chacma_baboon	NA	NA	omnivore	SouthAfrica	NA	feces	omnivore_scavenger	omnivore	wild	
Rupicapra_rupicapra	Rupicapra-rupicapra_SAMEA6809564.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809564	13881	Rupicapra-rupicapra_SAMEA6809564.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5416568	5122552	chamois.1	Chordata	Mammalia	Bovidae	Rupicapra	Metazoa	Artiodactyla	Rupicapra_rupicapra	Ammotragus_lervia	Rupicapra_rupicapra	chamois	NA	NA	herbivore	Austria	NA	feces	herbivore	herbivore	wild	
Acanthiza_uropygialis	Acanthiza-uropygialis_SAMEA6809490.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809490	13881	Acanthiza-uropygialis_SAMEA6809490.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1201754	1199780	chestnut-rumped_thornbill.1	Chordata	Aves	Acanthizidae	Acanthiza	Metazoa	Passeriformes	Acanthiza_uropygialis	Origma_solitaria	Acanthiza_uropygialis	chestnut-rumped_thornbill	NA	NA	carnivore	Australia	NA	feces	insectivore	carnivore	wild	
Gallus_gallus	Gallus-gallus_SAMEA6809496.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809496	13881	Gallus-gallus_SAMEA6809496.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4134110	4115152	chicken.3	Chordata	Aves	Phasianidae	Gallus	Metazoa	Galliformes	Gallus_gallus	Gallus_gallus	Gallus_gallus	chicken	NA	NA	omnivore	Austria	NA	feces	insectivore	carnivore	wild	
Gazella_bennettii	Gazella-bennettii_SAMEA6809614.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809614	13881	Gazella-bennettii_SAMEA6809614.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2064724	2064676	chinkara.1	Chordata	Mammalia	Bovidae	Gazella	Metazoa	Artiodactyla	Gazella_bennettii	Nanger_granti	Gazella_bennettii	chinkara	NA	NA	herbivore	Iran	NA	feces	herbivore	herbivore	wild	
Abramis_brama	Abramis-brama_SAMEA6809635.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809635	13881	Abramis-brama_SAMEA6809635.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	89148438	89093932	common_bream.1	Chordata	Actinopterygii	Leuciscidae	Abramis	Metazoa	Cypriniformes	Abramis_brama	"	Pimephales_promelas"	Abramis_brama	common_bream	NA	NA	omnivore	Austria	NA	feces	filter_feeder	carnivore	wild	
Trichosurus_vulpecula	Trichosurus-vulpecula_SAMEA6809483.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809483	13881	Trichosurus-vulpecula_SAMEA6809483.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7238346	7143742	common_brushtail.1	Chordata	Mammalia	Phalangeridae	Trichosurus	Metazoa	Diprotodontia	Trichosurus_vulpecula	Trichosurus_vulpecula	Trichosurus_vulpecula	common_brushtail	NA	NA	omnivore	Australia	NA	feces	folivore	herbivore	wild	
Trichosurus_vulpecula	Trichosurus-vulpecula_SAMEA6809484.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809484	13881	Trichosurus-vulpecula_SAMEA6809484.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7717732	7702584	common_brushtail.2	Chordata	Mammalia	Phalangeridae	Trichosurus	Metazoa	Diprotodontia	Trichosurus_vulpecula	Trichosurus_vulpecula	Trichosurus_vulpecula	common_brushtail	NA	NA	omnivore	Australia	NA	feces	folivore	herbivore	wild	
Cyprinus_carpio	Cyprinus-carpio_SAMEA6809376.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809376	13881	Cyprinus-carpio_SAMEA6809376.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5075242	2401596	common_carp.1	Chordata	Actinopterygii	Cyprinidae	Cyprinus	Metazoa	Cypriniformes	Cyprinus_carpio	Cyprinus_carpio	Cyprinus_carpio	common_carp	NA	NA	omnivore	Austria	NA	feces	omnivore	omnivore	wild	
Cyprinus_carpio	Cyprinus-carpio_SAMEA6809409.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809409	13881	Cyprinus-carpio_SAMEA6809409.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5019560	798214	common_carp.2	Chordata	Actinopterygii	Cyprinidae	Cyprinus	Metazoa	Cypriniformes	Cyprinus_carpio	Cyprinus_carpio	Cyprinus_carpio	common_carp	NA	NA	omnivore	Austria	NA	gut	omnivore	omnivore	wild	
Rana_temporaria	Rana-temporaria_SAMEA6809418.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809418	13881	Rana-temporaria_SAMEA6809418.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11394398	2214802	common_frog.1	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana_temporaria	Rana_temporaria	Rana_temporaria	common_frog	NA	NA	carnivore	Austria	NA	feces	carnivore	carnivore	wild	
Rana_temporaria	Rana-temporaria_SAMEA6809419.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809419	13881	Rana-temporaria_SAMEA6809419.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10575640	1880786	common_frog.2	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana_temporaria	Rana_temporaria	Rana_temporaria	common_frog	NA	NA	carnivore	Austria	NA	feces	carnivore	carnivore	wild	
Hemidactylus_frenatus	Hemidactylus-frenatus_SAMEA6809416.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809416	13881	Hemidactylus-frenatus_SAMEA6809416.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1788916	1788880	common_house_gecko.1	Chordata	Reptilia	Gekkonidae	Hemidactylus	Metazoa	Squamata	Hemidactylus_frenatus	Gekko_japonicus	Hemidactylus_frenatus	common_house_gecko	NA	NA	carnivore	VietNam	NA	feces	insectivore	carnivore	wild	
Hemidactylus_frenatus	Hemidactylus-frenatus_SAMEA6809417.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809417	13881	Hemidactylus-frenatus_SAMEA6809417.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10972462	10972018	common_house_gecko.2	Chordata	Reptilia	Gekkonidae	Hemidactylus	Metazoa	Squamata	Hemidactylus_frenatus	Gekko_japonicus	Hemidactylus_frenatus	common_house_gecko	NA	NA	carnivore	VietNam	NA	feces	insectivore	carnivore	wild	
Falco_tinnunculus	Falco-tinnunculus_SAMEA6809367.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809367	13881	Falco-tinnunculus_SAMEA6809367.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11377720	2518878	common_kestrel.1	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco_tinnunculus	Falco_tinnunculus	Falco_tinnunculus	common_kestrel	NA	NA	carnivore	Hungary	NA	gut	carnivore	carnivore	wild	
Falco_tinnunculus	Falco-tinnunculus_SAMEA6809368.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809368	13881	Falco-tinnunculus_SAMEA6809368.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9599706	2540606	common_kestrel.2	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco_tinnunculus	Falco_tinnunculus	Falco_tinnunculus	common_kestrel	NA	NA	carnivore	Hungary	NA	gut	carnivore	carnivore	wild	
Pica_pica	Pica-pica_SAMEA6809465.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809465	13881	Pica-pica_SAMEA6809465.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4112984	3600596	common_magpie.1	Chordata	Aves	Corvidae	Pica	Metazoa	Passeriformes	Pica_pica	Corvus_brachyrhynchos	Pica_pica	Common_magpie	NA	NA	omnivore	Hungary	NA	feces	omnivore	omnivore	wild	
Pipistrellus_pipistrellus	Pipistrellus-pipistrellus_SAMEA6809463.ebi_filtered_r1r2interleaved_sampleinterleaved	13881.SAMEA6809463	13881	Pipistrellus-pipistrellus_SAMEA6809463.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7898608	4491290	common_nase.1	Chordata	Mammalia	Vespertilionidae	Pipistrellus	Metazoa	Chiroptera	Pipistrellus_pipistrellus	Pipistrellus_pipistrellus	Pipistrellus_pipistrellus	common_pipistrelle	NA	NA	carnivore	Hungary	NA	gut	insectivore	carnivore	wild	
