SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	species_id	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Suricata-suricatta_S_S_Temp_D701-AK1681_filtered_r1r2combined	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	meerkat.2	Suricata suricatta	Suricata_suricatta	Meerkat	flightless			France			insectivore	carnivore	captive	
Suricata-suricatta_S_S_Temp_D704-AK1545_filtered_r1r2combined	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	meerkat.3	Suricata suricatta	Suricata_suricatta	meerkat	flightless			USA			insectivore	carnivore	captive	
Ichthyomyzon-fossor_S_S_Temp_D711-AK1682_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	northern_brook_lamprey.1	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Ichthyomyzon-fossor_S_S_Temp_D702-AK1681_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	northern_brook_lamprey.2	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	northern_brook_lamprey.3	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	northern_brook_lamprey.4	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio camelus	ostrich.3	Struthio camelus	Struthio_camelus	Ostrich	flightless			USA			herbivore	herbivore	captive	
Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio camelus	ostrich.4	Struthio camelus	Struthio_camelus	ostrich	flightless			France			herbivore	herbivore	captive	
Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia	Cynomys ludovicianus	prairie_dog.1	#N/A	Cynomys_ludovicianus	Prairie dog	flightless			USA			herbivore	herbivore	captive	
Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	prevosts_squirrel.1	Sciurus vulgaris	Callosciurus_prevostii	Prevosts squirrel	flightless			France			omnivore	omnivore	captive	
Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	prevosts_squirrel.2	Sciurus vulgaris	Callosciurus_prevostii	prevosts squirrel	flightless			USA			omnivore	omnivore	captive	
Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	prevosts_squirrel.3	Sciurus vulgaris	Callosciurus_prevostii	prevosts squirrel	flightless			USA			omnivore	omnivore	captive	
Buteo-jamaicensis_S_S_Temp_D707-AK1680_filtered_r1r2combined	Chordata	Aves	Accipitridae	Buteo	Metazoa	Falconiformes	Buteo jamaicensis	red_tailed_hawk.1	Buteo japonicus	Buteo_jamaicensis	Red tailed hawk	flighted			USA			"carnivore, scavenger"	carnivore	captive	
Rhea-americana_S_S_Temp_D705-AK1543_filtered_r1r2combined	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	rhea.2	Rhea americana	Rhea_americana	rhea	flightless			USA			omnivore	omnivore	captive	
Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	rhea.3	Rhea americana	Rhea_americana	rhea	flightless			USA			omnivore	omnivore	captive	
Rhea-americana_S_S_Temp_D706-AK1543_filtered_r1r2combined	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	rhea.4	Rhea americana	Rhea_americana	rhea	flightless			USA			omnivore	omnivore	captive	
Rhea-americana_S_S_Temp_D706-AK1545_filtered_r1r2combined	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	rhea.5	Rhea americana	Rhea_americana	rhea	flightless			USA			omnivore	omnivore	captive	
Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.1	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.2	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.3	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.4	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
