sample_name	studyID	SampleID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
2338.0623.7.I	2338	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined.fastq.gz	10812150	10809968	great_fruit-eating_bat.1	Chordata	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera	Artibeus intermedius	Artibeus jamaicensis	Artibeus_intermedius	great fruit-eating bat	flighted	Artibeus jamaicensis			Costa Rica			frugivore	herbivore	wild	
2338.0620.8.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined.fastq.gz	28375062	28354050	sebas_short-tailed_bat.1	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted	Carollia perspicillata			Costa Rica			frugivore	herbivore	wild	
2338.0623.9.I	2338	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined.fastq.gz	122751186	122713288	sebas_short-tailed_bat.2	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted	Carollia perspicillata			Costa Rica			frugivore	herbivore	wild	
2338.0627.22.I2	2338	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined.fastq.gz	8559788	8556874	sebas_short-tailed_bat.3	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted	Carollia perspicillata			Costa Rica			frugivore	herbivore	wild	
2338.0701.17.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined.fastq.gz	488426	487862	sebas_short-tailed_bat.4	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted	Carollia perspicillata			Costa Rica			frugivore	herbivore	wild	
2338.0624.6.I	2338	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined.fastq.gz	51599976	51540112	sowells_short-tailed_bat.1	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia sowelli	Carollia perspicillata	Carollia_sowelli	Sowells short-tailed bat	flighted	Carollia perspicillata			Costa Rica			frugivore	herbivore	wild	
11166.lamprey.24146.lamprey	11166	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined.fastq.gz	79429692	32380108	american_brook_lamprey.1	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.lamprey.24147.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined.fastq.gz	102385344	44405594	american_brook_lamprey.2	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.lamprey.24154.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined.fastq.gz	58065678	25803516	american_brook_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.ATL.24483.eagle	11166	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined.fastq.gz	20895600	20223650	bald_eagle.1	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Haliaeetus leucocephalus	Haliaeetus leucocephalus	Haliaeetus_leucocephalus	Bald eagle	flighted	Haliaeetus leucocephalus			USA			scavenger	carnivore	captive	
11166.NATL.24682.mongoose	11166	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined.fastq.gz	8895624	8892976	banded_mongoose.2	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora	Mungos mungo	Mungos mungo	Mungos_mungo	banded mongoose	flightless	Mungos mungo			USA			herbivore	herbivore	captive	
11166.ZU.18260.bronzewingedduck	11166	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined.fastq.gz	4312146	4291506	bronzewinged_duck.1	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Speculanas specularis	Heteronetta atricapilla	Speculanas_specularis	Bronzewinged duck	flighted	Heteronetta atricapilla			Switzerland			omnivore	omnivore	captive	
11166.FD.0126.hyena	11166	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined.fastq.gz	148146384	148074190	brown_hyena.1	Chordata	Mammalia	Hyaenidae	Parahyaena	Metazoa	Carnivora	Hyaena brunnea	Crocuta crocuta	Parahyaena_brunnea	Brown hyena	flightless	Crocuta crocuta			France			scavenger	carnivore	captive	
11166.NATL.24369.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined.fastq.gz	16212782	16187182	brown_kiwi.2	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	Apteryx mantelli	Apteryx_australis	brown kiwi	flightless	Apteryx mantelli			USA			carnivore	carnivore	captive	
11166.NATL.24677.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined.fastq.gz	24159332	24065226	brown_kiwi.3	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	Apteryx mantelli	Apteryx_australis	brown kiwi	flightless	Apteryx mantelli			USA			carnivore	carnivore	captive	
11166.ATL.24090.a.cassowary	11166	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined.fastq.gz	78781584	78778530	cassowary.3	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius casuarius	Casuarius casuarius	Casuarius_casuarius	Cassowary	flightless	Casuarius casuarius			USA			frugivore	herbivore	captive	
11166.NATL.24096.cassowary	11166	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined.fastq.gz	48652110	47781626	cassowary.4	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius casuarius	Casuarius casuarius	Casuarius_casuarius	cassowary	flightless	Casuarius casuarius			USA			frugivore	herbivore	captive	
11166.vbat.DR07.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined.fastq.gz	18641194	527736	common_rudd.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR11.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined.fastq.gz	42269878	922368	common_teal.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR12.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined.fastq.gz	34428166	1573366	common_toad.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR14.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined.fastq.gz	13903090	394212	common_toad.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR15.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined.fastq.gz	31906410	753786	common_vampire_bat.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR16.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined.fastq.gz	8907528	230578	common_vampire_bat.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR21.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined.fastq.gz	15242976	356808	common_vampire_bat.3	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.vbat.DR26.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined.fastq.gz	16975130	261142	common_vampire_bat.4	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted	Desmodus rotundus			Mexico			sanguivore	carnivore	wild	
11166.ZU.18256.rhea	11166	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined.fastq.gz	9620260	9618324	darwins_rhea.1	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Rhea pennata	Rhea pennata	Pterocnemia_pennata	Darwins rhea	flightless	Rhea pennata			Switzerland			herbivore	herbivore	captive	
11166.NATL.25075.mongoose	11166	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined.fastq.gz	83622188	83617234	dwarf_mongoose.2	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Helogale parvula	Helogale parvula	Helogale_parvula	dwarf mongoose	flightless	Helogale parvula			USA			insectivore	carnivore	captive	
11166.FD.0441.tinamou	11166	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined.fastq.gz	32487128	32448674	elegant_crested_tinamou.1	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	Eudromia elegans	Eudromia_elegans	elegant crested tinamou	flighted	Eudromia elegans			France			omnivore	omnivore	captive	
11166.NATL.24094.tinamou	11166	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined.fastq.gz	40795214	40582464	elegant_crested_tinamou.2	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	Eudromia elegans	Eudromia_elegans	elegant crested tinamou	flighted	Eudromia elegans			USA			omnivore	omnivore	captive	
11166.NATL.25068.emu	11166	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined.fastq.gz	14509756	14503296	emu.2	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Dromaius novaehollandiae	Dromaius novaehollandiae	Dromaius_novaehollandiae	emu	flightless	Dromaius novaehollandiae			USA			carnivore	carnivore	captive	
11166.ATL.25136.fossa	11166	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined.fastq.gz	64530078	64527584	fossa.1	Chordata	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Cryptoprocta ferox	Cryptoprocta ferox	Cryptoprocta_ferox	Fossa	flightless	Cryptoprocta ferox			USA			carnivore	carnivore	captive	
11166.ZU.18247.fuegiansteamerduck	11166	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined.fastq.gz	17042070	16950020	fuegian_steamer_duck.1	Chordata	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes	Tachyeres pteneres	Branta canadensis	Tachyeres_pteneres	Fuegian steamer duck	flightless	Branta canadensis			Switzerland			insectivore	carnivore	captive	
11166.UM.24892.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined.fastq.gz	1682712	1638662	genovesa_ground_finch.1	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza acutirostris	Geospiza fortis		Genovesa ground finch	flighted	Geospiza fortis			Ecuador			"insectivore, granivore"	omnivore	wild	
11166.UM.24976.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined.fastq.gz	2673222	564560	genovesa_ground_finch.2	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza acutirostris	Geospiza fortis		Genovesa ground finch	flighted	Geospiza fortis			Ecuador			"insectivore, granivore"	omnivore	wild	
11166.vbat.K3.colon.bat	11166	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined.fastq.gz	16927274	15913350	gray_sacwinged_bat.1	Chordata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera	Balantiopteryx plicata	Desmodus rotundus	Balantiopteryx_plicata	gray sacwinged bat	flighted	Desmodus rotundus			Mexico			insectivore	carnivore	wild	
11166.FD.0461.rhea	11166	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined.fastq.gz	16200112	16199618	greater_rhea.1	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	Rhea americana	Rhea_americana	Greater rhea	flightless	Rhea americana			France			omnivore	omnivore	captive	
11166.ATL.24553.hawk	11166	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined.fastq.gz	1911848	987520	harris_hawk.1	Chordata	Aves	Accipitridae	Parabuteo	Metazoa	Falconiformes	Parabuteo unicinctus	Haliaeetus leucocephalus	Parabuteo_unicinctus	Harris hawk	flighted	Haliaeetus leucocephalus			USA			carnivore	carnivore	captive	
11166.ATL.24487.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined.fastq.gz	16263176	14928822	hooded_vulture.1	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes monachus	Haliaeetus leucocephalus	Necrosyrtes_monachus	Hooded vulture	flighted	Haliaeetus leucocephalus			USA			scavenger	carnivore	captive	
11166.ATL.24524.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined.fastq.gz	53373296	37326654	hooded_vulture.2	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes monachus	Haliaeetus leucocephalus	Necrosyrtes_monachus	Hooded vulture	flighted	Haliaeetus leucocephalus			USA			scavenger	carnivore	captive	
11166.ZU.18201.kingpenguin	11166	Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined	Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined.fastq.gz	785288	327038	king_penguin.1	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes patagonicus	Aptenodytes patagonicus	Aptenodytes_patagonicus	King penguin	flightless	Aptenodytes patagonicus			Switzerland			carnivore	carnivore	captive	
11166.ZU.18220.kingpenguin	11166	Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined	Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined.fastq.gz	522414	512102	king_penguin.2	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes patagonicus	Aptenodytes patagonicus	Aptenodytes_patagonicus	King penguin	flightless	Aptenodytes patagonicus			Switzerland			carnivore	carnivore	captive	
11166.NATL.24241.vulture	11166	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined.fastq.gz	108846910	108823702	king_vulture.2	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus papa	Cathartes aura	Sarcoramphus_papa	king vulture	flighted	Cathartes aura			USA			scavenger	carnivore	captive	
11166.NATL.24684.vulture	11166	Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined	Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined.fastq.gz	38351354	38085292	king_vulture.3	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus papa	Cathartes aura	Sarcoramphus_papa	king vulture	flighted	Cathartes aura			USA			scavenger	carnivore	captive	
11166.NATL.25048.kiwi	11166	Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined	Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined.fastq.gz	46708894	46662966	kiwi.1	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	Apteryx mantelli	Apteryx_australis	kiwi	flightless	Apteryx mantelli			USA			carnivore	carnivore	captive	
11166.NATL.25056.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined	Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined.fastq.gz	62106644	61910738	kiwi.2	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	Apteryx mantelli	Apteryx_australis	kiwi	flightless	Apteryx mantelli			USA			carnivore	carnivore	captive	
11166.ATL.24548.falcon	11166	Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined	Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined.fastq.gz	67337394	67185548	lanner_falcon.1	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco biarmicus	Falco tinnunculus	Falco_biarmicus	Lanner falcon	flighted	Falco tinnunculus			USA			carnivore	carnivore	captive	
11166.ATL.24572.vulture	11166	Torgos-tracheliotus_S_S_Temp_D703-AK1682_filtered_r1r2combined	Torgos-tracheliotus_S_S_Temp_D703-AK1682_filtered_r1r2combined.fastq.gz	38286474	38207854	lappet_faced_vulture.2	Chordata	Aves	Accipitridae	Torgos	Metazoa	Falconiformes	Torgos tracheliotus	Haliaeetus leucocephalus	Torgos_tracheliotos	Lappet faced vulture	flighted	Haliaeetus leucocephalus			USA			carnivore	carnivore	captive	
11166.ATL.24564.meerkat	11166	Suricata-suricatta_S_S_Temp_D705-AK1681_filtered_r1r2combined	Suricata-suricatta_S_S_Temp_D705-AK1681_filtered_r1r2combined.fastq.gz	28835276	27018442	meerkat.1	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	Suricata suricatta	Suricata_suricatta	Meerkat	flightless	Suricata suricatta			USA			insectivore	carnivore	captive	
11166.FD.0198.meerkat	11166	Suricata-suricatta_S_S_Temp_D701-AK1681_filtered_r1r2combined	Suricata-suricatta_S_S_Temp_D701-AK1681_filtered_r1r2combined.fastq.gz	86193986	66215826	meerkat.2	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	Suricata suricatta	Suricata_suricatta	Meerkat	flightless	Suricata suricatta			France			insectivore	carnivore	captive	
11166.NATL.24697.meerkat	11166	Suricata-suricatta_S_S_Temp_D704-AK1545_filtered_r1r2combined	Suricata-suricatta_S_S_Temp_D704-AK1545_filtered_r1r2combined.fastq.gz	51451324	51450020	meerkat.3	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	Suricata suricatta	Suricata_suricatta	meerkat	flightless	Suricata suricatta			USA			insectivore	carnivore	captive	
11166.lamprey.24144.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D711-AK1682_filtered_r1r2combined	Ichthyomyzon-fossor_S_S_Temp_D711-AK1682_filtered_r1r2combined.fastq.gz	19862176	12806194	northern_brook_lamprey.1	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.lamprey.24148.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D702-AK1681_filtered_r1r2combined	Ichthyomyzon-fossor_S_S_Temp_D702-AK1681_filtered_r1r2combined.fastq.gz	101521490	26191198	northern_brook_lamprey.2	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.lamprey.24155.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined	Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined.fastq.gz	36998476	10105914	northern_brook_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.lamprey.24157.lamprey	11166	Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined	Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined.fastq.gz	10643132	3366770	northern_brook_lamprey.4	Chordata	Hyperoartia	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes	Ichthyomyzon fossor	Petromyzon marinus	Ichthyomyzon_fossor	northern brook lamprey	flightless	Petromyzon marinus			USA			filter_feeder	carnivore	wild	
11166.ATL.24061.b.ostrich	11166	Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined	Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined.fastq.gz	86144576	86090266	ostrich.3	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio camelus	Struthio camelus	Struthio_camelus	Ostrich	flightless	Struthio camelus			USA			herbivore	herbivore	captive	
11166.FD.0210.ostrich	11166	Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined	Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined.fastq.gz	23858614	23843970	ostrich.4	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Struthio camelus	Struthio camelus	Struthio_camelus	ostrich	flightless	Struthio camelus			France			herbivore	herbivore	captive	
11166.ATL.24614.prairiedog	11166	Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined.fastq.gz	23061908	22971688	prairie_dog.1	Chordata	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia	Cynomys ludovicianus	#N/A	Cynomys_ludovicianus	Prairie dog	flightless	#N/A			USA			herbivore	herbivore	captive	
11166.FD.0488.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined	Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined.fastq.gz	79963254	79270794	prevosts_squirrel.1	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	Sciurus vulgaris	Callosciurus_prevostii	Prevosts squirrel	flightless	Sciurus vulgaris			France			omnivore	omnivore	captive	
11166.NATL.24331.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined	Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined.fastq.gz	82407684	82404306	prevosts_squirrel.2	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	Sciurus vulgaris	Callosciurus_prevostii	prevosts squirrel	flightless	Sciurus vulgaris			USA			omnivore	omnivore	captive	
11166.NATL.24622.squirrel	11166	Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined	Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined.fastq.gz	6845918	6845436	prevosts_squirrel.3	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus prevostii	Sciurus vulgaris	Callosciurus_prevostii	prevosts squirrel	flightless	Sciurus vulgaris			USA			omnivore	omnivore	captive	
