sample_name	studyID	SampleID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
13881.SAMEA6809560	13881	Equus-przewalskii_SAMEA6809560.ebi_filtered_r1r2combined_sampleCombined	Equus-przewalskii_SAMEA6809560.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10845814	10845150	przewalski_horse.2	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus przewalskii	Equus przewalskii	Equus_przewalskii	Przewalski_horse		Equus przewalskii		herbivore	Mongolia		feces	herbivore	herbivore	wild	
13881.SAMEA6809561	13881	Equus-przewalskii_SAMEA6809561.ebi_filtered_r1r2combined_sampleCombined	Equus-przewalskii_SAMEA6809561.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3939198	3939088	przewalski_horse.3	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus przewalskii	Equus przewalskii	Equus_przewalskii	Przewalski_horse		Equus przewalskii		herbivore	Austria		feces	herbivore	herbivore	captive	
13881.SAMEA6809443	13881	Nycticebus-pygmaeus_SAMEA6809443.ebi_filtered_r1r2combined_sampleCombined	Nycticebus-pygmaeus_SAMEA6809443.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3398992	3197468	pygmy_slow_loris.1	Chordata	Mammalia	Lorisidae	Nycticebus	Metazoa	Primates	Nycticebus pygmaeus	Nycticebus coucang	Nycticebus_pygmaeus	pygmy slow loris		Nycticebus coucang		omnivore	Viet Nam		feces	"omnivore, gummivore"	omnivore	wild	
13881.SAMEA6809444	13881	Nycticebus-pygmaeus_SAMEA6809444.ebi_filtered_r1r2combined_sampleCombined	Nycticebus-pygmaeus_SAMEA6809444.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5192278	5117086	pygmy_slow_loris.2	Chordata	Mammalia	Lorisidae	Nycticebus	Metazoa	Primates	Nycticebus pygmaeus	Nycticebus coucang	Nycticebus_pygmaeus	pygmy slow loris		Nycticebus coucang		omnivore	Viet Nam		feces	"omnivore, gummivore"	omnivore	wild	
13881.SAMEA6809586	13881	Equus-burchellii_SAMEA6809586.ebi_filtered_r1r2combined_sampleCombined	Equus-burchellii_SAMEA6809586.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	14705620	14694196	quagga.1	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus burchellii quagga	Equus asinus	Equus_burchellii	Quagga		Equus asinus		herbivore	Tanzania		feces	herbivore	herbivore	wild	
13881.SAMEA6809593	13881	Equus-burchellii_SAMEA6809593.ebi_filtered_r1r2combined_sampleCombined	Equus-burchellii_SAMEA6809593.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9419308	9418480	quagga.2	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus burchellii quagga	Equus asinus	Equus_burchellii	Quagga		Equus asinus		herbivore	Austria		feces	herbivore	herbivore	captive	
13881.SAMEA6809437	13881	Oryctolagus-cuniculus_SAMEA6809437.ebi_filtered_r1r2combined_sampleCombined	Oryctolagus-cuniculus_SAMEA6809437.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10153532	10128850	rabbit.1	Chordata	Mammalia	Leporidae	Oryctolagus	Metazoa	Lagomorpha	Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus_cuniculus	rabbit		Oryctolagus cuniculus		herbivore	Austria		feces	herbivore	herbivore	captive	
13881.SAMEA6809522	13881	Oryctolagus-cuniculus_SAMEA6809522.ebi_filtered_r1r2combined_sampleCombined	Oryctolagus-cuniculus_SAMEA6809522.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4235074	1539972	rabbit.2	Chordata	Mammalia	Leporidae	Oryctolagus	Metazoa	Lagomorpha	Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus_cuniculus	rabbit		Oryctolagus cuniculus		herbivore	Austria		gut	herbivore	herbivore	wild	
13881.SAMEA6809559	13881	Oryctolagus-cuniculus_SAMEA6809559.ebi_filtered_r1r2combined_sampleCombined	Oryctolagus-cuniculus_SAMEA6809559.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1109956	851212	rabbit.3	Chordata	Mammalia	Leporidae	Oryctolagus	Metazoa	Lagomorpha	Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus_cuniculus	rabbit		Oryctolagus cuniculus		herbivore	Austria		feces	herbivore	herbivore	wild	
13881.SAMEA6809526	13881	Procyon-lotor_SAMEA6809526.ebi_filtered_r1r2combined_sampleCombined	Procyon-lotor_SAMEA6809526.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2581418	2579900	raccoon.1	Chordata	Mammalia	Procyonidae	Procyon	Metazoa	Carnivora	Procyon lotor	Procyon lotor	Procyon_lotor	raccoon		Procyon lotor		omnivore	Costa Rica		feces	carnivore	carnivore	wild	
13881.SAMEA6809373	13881	Nyctereutes-procyonoides_SAMEA6809373.ebi_filtered_r1r2combined_sampleCombined	Nyctereutes-procyonoides_SAMEA6809373.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2230466	2191706	raccoon_dog.2	Chordata	Mammalia	Canidae	Nyctereutes	Metazoa	Carnivora	Nyctereutes procyonoides	Vulpes lagopus	Nyctereutes_procyonoides	raccoon dog		Vulpes lagopus		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809491	13881	Nyctereutes-procyonoides_SAMEA6809491.ebi_filtered_r1r2combined_sampleCombined	Nyctereutes-procyonoides_SAMEA6809491.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4791628	3063816	raccoon_dog.3	Chordata	Mammalia	Canidae	Nyctereutes	Metazoa	Carnivora	Nyctereutes procyonoides	Vulpes lagopus	Nyctereutes_procyonoides	raccoon dog		Vulpes lagopus		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809413	13881	Oncorhynchus-mykiss_SAMEA6809413.ebi_filtered_r1r2combined_sampleCombined	Oncorhynchus-mykiss_SAMEA6809413.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	858378	852968	rainbow_trout.1	Chordata	Actinopterygii	Salmonidae	Oncorhynchus	Metazoa	Salmoniformes	Oncorhynchus mykiss	Oncorhynchus mykiss	Oncorhynchus_mykiss	rainbow trout		Oncorhynchus mykiss		carnivore	Austria		feces	carnivore	carnivore	wild	
13881.SAMEA6809429	13881	Cervus-elaphus_SAMEA6809429.ebi_filtered_r1r2combined_sampleCombined	Cervus-elaphus_SAMEA6809429.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7827332	7826090	red_deer.1	Chordata	Mammalia	Cervidae	Cervus	Metazoa	Artiodactyla	Cervus elaphus	Cervus elaphus hippelaphus	Cervus_elaphus	red deer		Cervus elaphus hippelaphus		herbivore	Austria		feces	herbivore	herbivore	wild	
13881.SAMEA6809362	13881	Vulpes-vulpes_SAMEA6809362.ebi_filtered_r1r2combined_sampleCombined	Vulpes-vulpes_SAMEA6809362.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2606932	2315216	red_fox.1	Chordata	Mammalia	Canidae	Vulpes	Metazoa	Carnivora	Vulpes vulpes	Vulpes vulpes	Vulpes_vulpes	red fox		Vulpes vulpes		omnivore	Germany		feces	omnivore	omnivore	wild	
13881.SAMEA6809599	13881	Vulpes-vulpes_SAMEA6809599.ebi_filtered_r1r2combined_sampleCombined	Vulpes-vulpes_SAMEA6809599.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2489324	2483484	red_fox.2	Chordata	Mammalia	Canidae	Vulpes	Metazoa	Carnivora	Vulpes vulpes	Vulpes vulpes	Vulpes_vulpes	red fox		Vulpes vulpes		omnivore	Austria		feces	omnivore	omnivore	wild	
