SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order
Loxodonta_africana_africana	Chordata	Mammalia	Elephantidae	Loxodonta	Metazoa	Proboscidea
Didelphis_marsupialis	Chordata	Mammalia	Didelphidae	Didelphis	Metazoa	Didelphimorphia
Tamandua_tetradactyla	Chordata	Mammalia	Myrmecophagidae	Tamandua	Metazoa	Pilosa
Tolypeutes_matacus	Chordata	Mammalia	Chlamyphoridae	Tolypeutes	Metazoa	Cingulata
Choloepus_didactylus	Chordata	Mammalia	Megalonychidae	Choloepus	Metazoa	Pilosa
Nomascus_siki	Chordata	Mammalia	Hylobatidae	Nomascus	Metazoa	Primates
Carollia_sowelli	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera
Mesoplodon_bidens	Chordata	Mammalia	Ziphiidae	Mesoplodon	Metazoa	Artiodactyla
Pyxis_arachnoides	Chordata	Reptilia	Testudinidae	Pyxis	Metazoa	Testudines
Varanus_acanthurus	Chordata	Reptilia	Varanidae	Varanus	Metazoa	Squamata
Crocuta_crocuta	Chordata	Mammalia	Hyaenidae	Crocuta	Metazoa	Carnivora
Mustela_eversmannii	Chordata	Mammalia	Mustelidae	Mustela	Metazoa	Carnivora
Hyaena_hyaena	Chordata	Mammalia	Hyaenidae	Hyaena	Metazoa	Carnivora
Phodopus_sungorus	Chordata	Mammalia	Cricetidae	Phodopus	Metazoa	Rodentia
Notamacropus_eugenii	Chordata	Mammalia	Macropodidae	Notamacropus	Metazoa	Diprotodontia
Strix_aluco	Chordata	Aves	Strigidae	Strix	Metazoa	Strigiformes
Otolemur_crassicaudatus	Chordata	Mammalia	Galagidae	Otolemur	Metazoa	Primates
Proechimys_guairae	Chordata	Mammalia	Echimyidae	Proechimys	Metazoa	Rodentia
Meleagris_gallopavo	Chordata	Aves	Phasianidae	Meleagris	Metazoa	Galliformes
Strix_uralensis	Chordata	Aves	Strigidae	Strix	Metazoa	Strigiformes
Chlorocebus_pygerythrus	Chordata	Mammalia	Cercopithecidae	Chlorocebus	Metazoa	Primates
Acryllium_vulturinum	Chordata	Aves	Numididae	Acryllium	Metazoa	Galliformes
Rallus_aquaticus	Chordata	Aves	Rallidae	Rallus	Metazoa	Gruiformes
Erinaceus_europaeus	Chordata	Mammalia	Erinaceidae	Erinaceus	Metazoa	Eulipotyphla
Gorilla_gorilla	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates
Macropus_fuliginosus	Chordata	Mammalia	Macropodidae	Macropus	Metazoa	Diprotodontia
Glossophaga_morenoi	Chordata	Mammalia	Phyllostomidae	Glossophaga	Metazoa	Chiroptera
Circus_aeruginosus	Chordata	Aves	Accipitridae	Circus	Metazoa	Accipitriformes
Piliocolobus_badius	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates
Capreolus_capreolus	Chordata	Mammalia	Cervidae	Capreolus	Metazoa	Artiodactyla
Ceratotherium_simum	Chordata	Mammalia	Rhinocerotidae	Ceratotherium	Metazoa	Perissodactyla
Propithecus_verreauxi	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates
Ciconia_ciconia	Chordata	Aves	Ciconiidae	Ciconia	Metazoa	Ciconiiformes
Lagenorhynchus_albirostris	Chordata	Mammalia	Delphinidae	Lagenorhynchus	Metazoa	Artiodactyla
Ateles_belzebuth	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates
Dendrocygna_viduata	Chordata	Aves	Anatidae	Dendrocygna	Metazoa	Anseriformes
Odocoileus_virginianus	Chordata	Mammalia	Cervidae	Odocoileus	Metazoa	Artiodactyla
Haliaeetus_albicilla	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Accipitriformes
Grus_americana	Chordata	Aves	Gruidae	Grus	Metazoa	Gruiformes
Camelus_ferus	Chordata	Mammalia	Camelidae	Camelus	Metazoa	Artiodactyla
Tringa_glareola	Chordata	Aves	Scolopacidae	Tringa	Metazoa	Charadriiformes
Rhyticeros_undulatus	Chordata	Aves	Bucerotidae	Rhyticeros	Metazoa	Bucerotiformes
Apodemus_flavicollis	Chordata	Mammalia	Muridae	Apodemus	Metazoa	Rodentia
Zingel_zingel	Chordata	Actinopteri	Percidae	Zingel	Metazoa	Perciformes
